BB_ALWAYS_RETIRE_READ,PF_CS,MAX_TXN_PER_PART,MAX_RUNTIME,BB_PRECOMMIT,COMPILE_ONLY,ZIPF_THETA,LATCH,ABORT_PENALTY,CC_ALG,OUTPUT_TO_FILE,LONG_TXN_RATIO,TERMINATE_BY_COUNT,BB_AUTORETIRE,READ_PERC,SYNTH_TABLE_SIZE,BB_LAST_RETIRE,WW_STARV_FREE,EXEC_ONLY,MAX_ROW_PER_TXN,UNSET_NUMA,PF_BASIC,REQ_PER_QUERY,PF_ABORT,THREAD_CNT,BB_OPT_RAW,NDEBUG,WORKLOAD,BB_DYNAMIC_TS,SYNTHETIC_YCSB
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,16,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,16,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,16,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,16,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,16,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,16,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,16,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,16,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,16,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,16,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,BAMBOO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,BAMBOO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,BAMBOO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,BAMBOO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,BAMBOO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,SILO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,SILO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,SILO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,SILO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,SILO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WOUND_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WOUND_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WOUND_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WOUND_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WOUND_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,32,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,BAMBOO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,BAMBOO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,BAMBOO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,BAMBOO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,BAMBOO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,SILO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,SILO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,SILO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,SILO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,SILO,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,WOUND_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,WOUND_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,WOUND_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,WOUND_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,WOUND_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,WAIT_DIE,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
true,false,1000000,10,false,false,0.6,LH_MCSLOCK,50000,NO_WAIT,true,0,true,false,0.5,10000000,0,false,true,1000,false,true,16,false,1,true,true,YCSB,true,false
